,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
4637,IONQ,Put,70,2025-09-26T00:00:00.000,1766,1.4302957598910655,3.04,0,0,0,0.0383447647762032,0,0.027001811736417893,0,1.0277143205915178,0,1893,0,0
4715,IONQ,Call,89,2025-10-03T00:00:00.000,1747,1.2066424876840074,1.84,0,0,0.21465771511484527,0.017414602663839516,-0.26252325617725586,0.040554138515558655,0.005072476997347117,0.8083146341731039,0,1632,0,0
4936,IONQ,Call,75,2025-10-17T00:00:00.000,1478,0.9877589908837091,7.45,0,0,0.5097438130823825,0.018419445537860644,-0.18917756083188955,0.08742456152289237,0.027130616814785638,0.9592000325520833,0,1641,0,0
4937,IONQ,Call,80,2025-10-17T00:00:00.000,1446,0.9930683060448071,5.75,0,0,0.425683646779515,0.01800753001915211,-0.1863053344137741,0.08592888715185383,0.023094316319706022,0.8992500305175781,0,3580,0,0
4764,IONQ,Put,65,2025-10-03T00:00:00.000,1266,1.0389674073321322,2.65,0,0,0,0.022900198184355274,0,0.045918126648215415,0,1.1067692683293269,0,1524,0,0
5443,IONQ,Call,90,2026-01-16T00:00:00.000,1159,0.8932398411050284,11.8,0,0,0.48361976982073646,0.009206565543224934,-0.0790794741527867,0.19320654218205247,0.10437212649439644,0.7993333604600694,0,801,0,0
4562,IONQ,Call,78,2025-09-26T00:00:00.000,1101,1.4437957973810702,1.86,0,0,0.3081116756921054,0.03473153138260831,-0.7466629586847329,0.024688271331117412,0.001931678905763279,0.9223077236077725,0,658,0,0
4748,IONQ,Put,52,2025-10-03T00:00:00.000,1047,1.1528277569820633,0.43,0,0,0,0.007194451303194033,0,0.016006821383428998,0,1.3834615854116588,0,1505,0,0
5529,IONQ,Call,105,2026-04-17T00:00:00.000,1024,0.8493895616971633,13.5,0,0,0.4732253593316616,0.007215327463947887,-0.05671493037371899,0.2585223119376242,0.16744633863208536,0.6851428803943452,0,1103,0,0
4569,IONQ,Call,85,2025-09-26T00:00:00.000,1016,1.6331761440148926,0.95,0,0,0.16721757119562547,0.02184951631334704,-0.6001954034610792,0.01756854642713266,0.0010540117056611394,0.8463529698988971,0,1243,0,0
4984,IONQ,Put,60,2025-10-17T00:00:00.000,976,0.9620282582067418,3.06,0,0,0,0.01397369957830476,0,0.06459592914698124,0,1.1990000406901042,0,1219,0,0
4985,IONQ,Put,65,2025-10-17T00:00:00.000,948,0.9546231015490049,4.82,0,0,0,0.01676549830929294,0,0.07690495538238168,0,1.1067692683293269,0,881,0,0
4634,IONQ,Put,67,2025-09-26T00:00:00.000,935,1.4280146636545115,1.87,0,0,0,0.03358971740485388,0,0.02361565485355171,0,1.0737313797224814,0,1181,0,0
4955,IONQ,Put,22.5,2025-10-17T00:00:00.000,930,1.3381169606670804,0.01,0,0,0,0.0001245735904830537,0,0.0008009879373505421,0,3.1973334418402777,0,984,0,0
4619,IONQ,Put,55,2025-09-26T00:00:00.000,920,1.5829342034832259,0.16,0,0,0,0.0068711809746870725,0,0.0053549476103222915,0,1.3080000443892046,0,2166,0,0
4578,IONQ,Call,100,2025-09-26T00:00:00.000,849,1.9851885011209272,0.3,0,0,0.05456391114594404,0.007936021601497908,-0.32173193918712273,0.007756495913536846,0.000344879494102873,0.7194000244140625,0,1166,0,0
4972,IONQ,Put,40,2025-10-17T00:00:00.000,837,1.11542699328743,0.3,0,0,0,0.0026439411143378898,0,0.014170946125185636,0,1.7985000610351562,0,5910,0,0
4630,IONQ,Put,63,2025-09-26T00:00:00.000,793,1.4290356585589916,0.85,0,0,0,0.023541339305671562,0,0.016562855332738845,0,1.141904800657242,0,1050,0,0
4558,IONQ,Call,74,2025-09-26T00:00:00.000,792,1.422540141129535,3.1,0,0,0.44774285824039656,0.039624858775045395,-0.8280136902326461,0.027751932677953044,0.0027693099689222733,0.9721621951541385,0,423,0,0
4746,IONQ,Put,50,2025-10-03T00:00:00.000,790,1.1691886859294847,0.3,0,0,0,0.00549189261791275,0,0.012392234924320334,0,1.438800048828125,0,977,0,0
5252,IONQ,Put,14,2025-11-21T00:00:00.000,750,1.2688706217778987,0.02,0,0,0,0.00010078922284229973,0,0.0015337850131940558,0,5.138571602957589,0,750,0,0
4986,IONQ,Put,70,2025-10-17T00:00:00.000,749,0.9619087373764329,7.2,0,0,0,0.01832651164615267,0,0.08470705739301403,0,1.0277143205915178,0,695,0,0
4635,IONQ,Put,68,2025-09-26T00:00:00.000,747,1.4328145391647713,2.23,0,0,0,0.03543756692733837,0,0.024998551907863785,0,1.0579412123736214,0,702,0,0
4633,IONQ,Put,66,2025-09-26T00:00:00.000,743,1.4095131134886527,1.52,0,0,0,0.03160868576522798,0,0.021934944278446906,0,1.090000036991004,0,651,0,0
5489,IONQ,Put,55,2026-01-16T00:00:00.000,735,0.8753470198569898,7.27,0,0,0,0.006931437354669388,0,0.14254751575959945,0,1.3080000443892046,0,1069,0,0
4574,IONQ,Call,90,2025-09-26T00:00:00.000,715,1.718921147510255,0.57,0,0,0.10567798344310209,0.015146590737278242,-0.460670910810361,0.012818341017681504,0.0006690032667504779,0.7993333604600694,0,970,0,0
5440,IONQ,Call,75,2026-01-16T00:00:00.000,711,0.8651726363863018,15.85,0,0,0.5991514572072498,0.0092179053826148,-0.075177220574627,0.18736614188385695,0.12371684388577306,0.9592000325520833,0,6204,0,0
4636,IONQ,Put,69,2025-09-26T00:00:00.000,644,1.4028253980674743,2.54,0,0,0,0.03776169870162249,0,0.026080512339315392,0,1.0426087310348733,0,410,0,0
4983,IONQ,Put,55,2025-10-17T00:00:00.000,618,0.9718073184794863,1.79,0,0,0,0.010595020230040384,0,0.04947523594534692,0,1.3080000443892046,0,1985,0,0
4560,IONQ,Call,76,2025-09-26T00:00:00.000,589,1.4915782950802008,2.57,0,0,0.3813188250691347,0.0364188599098527,-0.8359568787828399,0.026744431888081902,0.002365143469315285,0.9465789794921875,0,323,0,0
5290,IONQ,Put,70,2025-11-21T00:00:00.000,570,0.945827897101302,11.47,0,0,0,0.01161514524077153,0,0.13175582213631712,0,1.0277143205915178,0,465,0,0
5287,IONQ,Put,55,2025-11-21T00:00:00.000,550,0.9412510535880071,4.62,0,0,0,0.008603411906814911,0,0.0971201272311455,0,1.3080000443892046,0,1858,0,0
4982,IONQ,Put,50,2025-10-17T00:00:00.000,540,1.0021173116725512,1.01,0,0,0,0.007239303482181309,0,0.034859509049881436,0,1.438800048828125,0,3718,0,0
4769,IONQ,Put,70,2025-10-03T00:00:00.000,537,1.0663141964782712,4.85,0,0,0,0.026147798318868008,0,0.05381003997315383,0,1.0277143205915178,0,250,0,0
4597,IONQ,Put,40,2025-09-26T00:00:00.000,504,2.5462828897293166,0.04,0,0,0,0.0010081061541146782,0,0.0012637870285467053,0,1.7985000610351562,0,2310,0,0
