,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
13351,AMD,Call,180,2025-09-26T00:00:00.000,7062,0.652155022120391,0.13,0,0,0.03328490174601379,0.007294753957100069,-0.15799767651263247,0.011555286763167662,0.0004935939039968968,0.8877221849229601,0,5881,0,0
13410,AMD,Put,152.5,2025-09-26T00:00:00.000,6777,0.5582345018452929,0.91,0,0,0,0.030808287941361145,0,0.04177375118891653,0,1.047803234663166,0,9674,0,0
13349,AMD,Call,175,2025-09-26T00:00:00.000,6742,0.6014349652341681,0.26,0,0,0.06498722125260288,0.013524912468543133,-0.24945218551792472,0.019757972300511076,0.0009631311139182977,0.913085675920759,0,6068,0,0
13350,AMD,Call,177.5,2025-09-26T00:00:00.000,4966,0.6185153409098973,0.17,0,0,0.044015710675099906,0.009659389908851693,-0.18829519474388137,0.014511737343349373,0.0006529067684788462,0.9002253142880722,0,10173,0,0
13731,AMD,Put,150,2025-10-17T00:00:00.000,4865,0.3922830676909515,3.32,0,0,0,0.017237210465619258,0,0.16029896793616522,0,1.0652666219075522,0,25920,0,0
13472,AMD,Call,162.5,2025-10-03T00:00:00.000,4859,0.4185629617620758,4.05,0,0,0.44069870892499347,0.0305467447802789,-0.2816508001922856,0.12173823171083605,0.024749644741589298,0.9833230356069712,0,1886,0,0
13685,AMD,Call,165,2025-10-17T00:00:00.000,4594,0.39008966150028324,5.6,0,0,0.4288681049291584,0.020669784931185497,-0.16933187576291672,0.19114571962898613,0.05842714835617771,0.9684242017341382,0,12518,0,0
13592,AMD,Call,190,2025-10-10T00:00:00.000,4390,0.44238601659638693,0.56,0,0,0.07283159847488509,0.007676324832610897,-0.0778653998091877,0.056419006675178345,0.0072081450974762285,0.840999964663857,0,3948,0,0
13404,AMD,Put,145,2025-09-26T00:00:00.000,4033,0.6214664156019654,0.21,0,0,0,0.010752089563264882,0,0.016230420576403056,0,1.1019999536974676,0,5007,0,0
13359,AMD,Call,200,2025-09-26T00:00:00.000,3935,0.8139210245370319,0.01,0,0,0.0026934661888567885,0.000654440312178584,-0.022030311808931426,0.0012938131069938185,0.000039991838082217276,0.7989499664306641,0,5379,0,0
13584,AMD,Call,170,2025-10-10T00:00:00.000,3329,0.4044588846661139,2.98,0,0,0.30030386519184404,0.021100102274438978,-0.18200835541270963,0.14178478889009274,0.029284488458427013,0.9399411369772518,0,2822,0,0
14116,AMD,Put,135,2025-12-19T00:00:00.000,3107,0.421717972171346,4.8,0,0,0,0.006974917818694729,0,0.25748974805263186,0,1.18362957989728,0,10990,0,0
13406,AMD,Put,147,2025-09-26T00:00:00.000,3047,0.5971079642389385,0.3,0,0,0,0.014591006153801597,0,0.02116203073613146,0,1.0870067570485225,0,3594,0,0
13407,AMD,Put,148,2025-09-26T00:00:00.000,2867,0.5855494457596019,0.36,0,0,0,0.01693245372999043,0,0.024082563168469996,0,1.0796621167981946,0,3386,0,0
13534,AMD,Put,155,2025-10-03T00:00:00.000,2743,0.4203562221811176,2.97,0,0,0,0.02799366357420805,0,0.11204138705873089,0,1.0309031824911794,0,2613,0,0
13729,AMD,Put,140,2025-10-17T00:00:00.000,2619,0.40612273754703576,1.27,0,0,0,0.010291118463520635,0,0.09907955821268769,0,1.1413570949009486,0,14950,0,0
14183,AMD,Call,200,2026-01-16T00:00:00.000,2560,0.39958535496065295,6.05,0,0,0.2638070237233109,0.0075963486892001875,-0.067176611101894,0.3518267106000705,0.16389555665955022,0.7989499664306641,0,30929,0,0
13397,AMD,Put,130,2025-09-26T00:00:00.000,2496,0.9017918090317277,0.04,0,0,0,0.0016161543952927222,0,0.0035400416386803624,0,1.2291537945087139,0,3883,0,0
13582,AMD,Call,165,2025-10-10T00:00:00.000,2475,0.3986354570154839,4.46,0,0,0.4055173307931494,0.023860834465569834,-0.20166799200931135,0.15802734850170336,0.039260846435418106,0.9684242017341382,0,2651,0,0
13690,AMD,Call,190,2025-10-17T00:00:00.000,2338,0.42549311756459024,1.01,0,0,0.10709137891029702,0.008903140967273286,-0.0842135573733877,0.08980488652804641,0.01495024706844715,0.840999964663857,0,7309,0,0
13479,AMD,Call,180,2025-10-03T00:00:00.000,2310,0.4580075005057278,0.64,0,0,0.09931393995249088,0.012355639038337427,-0.1337216804124436,0.05388142337186079,0.005679160555417884,0.8877221849229601,0,13153,0,0
13527,AMD,Put,145,2025-10-03T00:00:00.000,2299,0.43407200059263884,0.75,0,0,0,0.014178584188651859,0,0.058599768006384015,0,1.1019999536974676,0,2696,0,0
13692,AMD,Call,200,2025-10-17T00:00:00.000,2203,0.44405815154047024,0.52,0,0,0.05893668796936191,0.0054329599321213205,-0.05568542392974541,0.05719269056187441,0.008261001019194619,0.7989499664306641,0,13728,0,0
13474,AMD,Call,167.5,2025-10-03T00:00:00.000,2063,0.42979211184966565,2.48,0,0,0.30562144780000167,0.026436069296834463,-0.2547481141667356,0.10818239191700457,0.017286259150775665,0.9539701091709422,0,1460,0,0
13629,AMD,Put,140,2025-10-10T00:00:00.000,2006,0.41638910081685976,0.77,0,0,0,0.009804477169179378,0,0.06782573258674421,0,1.1413570949009486,0,1771,0,0
13929,AMD,Put,150,2025-10-31T00:00:00.000,2001,0.4012256134466979,5.11,0,0,0,0.014075365480690239,0,0.2139868479628969,0,1.0652666219075522,0,1977,0,0
13532,AMD,Put,150,2025-10-03T00:00:00.000,1885,0.4254006259045885,1.56,0,0,0,0.02155624440165395,0,0.08731170737402555,0,1.0652666219075522,0,3854,0,0
14074,AMD,Call,200,2025-12-19T00:00:00.000,1822,0.4185804580196627,4.68,0,0,0.23046755515566847,0.007762212300393925,-0.0740014644424841,0.2844220114215305,0.11021280305228241,0.7989499664306641,0,11929,0,0
13535,AMD,Put,157.5,2025-10-03T00:00:00.000,1787,0.41965738277609504,3.96,0,0,0,0.029954536876822587,0,0.11969023911969229,0,1.0145396399119544,0,1023,0,0
13477,AMD,Call,175,2025-10-03T00:00:00.000,1768,0.4455707905113302,1.11,0,0,0.15953212334218575,0.01766296569536856,-0.1815202892042482,0.07493446236551725,0.009092115834469443,0.913085675920759,0,3500,0,0
13588,AMD,Call,180,2025-10-10T00:00:00.000,1646,0.42256720990864943,1.3,0,0,0.1522470351179565,0.013671530600362464,-0.12732886519478176,0.09598063821083512,0.014983708961126566,0.8877221849229601,0,3756,0,0
13352,AMD,Call,182.5,2025-09-26T00:00:00.000,1617,0.6724718423692696,0.09,0,0,0.023434206951836633,0.005281675462180362,-0.12158097105956361,0.008627104382069784,0.0003476595774307529,0.8755616070473031,0,2096,0,0
13581,AMD,Call,162.5,2025-10-10T00:00:00.000,1553,0.39890898164522104,5.45,0,0,0.46461343382327014,0.02443925260274996,-0.2079363518854358,0.1619691994471463,0.04476107403423658,0.9833230356069712,0,3027,0,0
13480,AMD,Call,182.5,2025-10-03T00:00:00.000,1464,0.4699136171540875,0.51,0,0,0.08036315229689045,0.01028798707809094,-0.11704667545709643,0.046030924522748755,0.0045984176447689505,0.8755616070473031,0,1415,0,0
13730,AMD,Put,145,2025-10-17T00:00:00.000,1461,0.39783249264699383,2.09,0,0,0,0.013829846186336217,0,0.13043128707026042,0,1.1019999536974676,0,15399,0,0
14117,AMD,Put,140,2025-12-19T00:00:00.000,1457,0.41643178519911217,6.1,0,0,0,0.007898973530154502,0,0.2879474699876827,0,1.1413570949009486,0,7921,0,0
