,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
1260,SPY,Put,624,2025-09-18T00:00:00.000,972,0.2160318755312392,1.05,0,0,0,0.008735560958271505,0,0.17404702332779354,0,1.0395510746882513,0,972,0.66,0.67
1629,SPY,Put,561,2025-09-19T00:00:00.000,906,0.4008803638742659,0.13,0,0,0,0.0006117115154652518,0,0.025443211489907178,0,1.156292104466076,0,1308,0.11,0.12
2470,SPY,Call,663,2025-10-03T00:00:00.000,874,0.09616362812765249,1.9,0,0,0.21532622303276855,0.018676227041176493,-0.1660614786962356,0.4762070269272962,0.08681887916114507,0.9784010114712952,0,1238,2.01,2.04
1458,SPY,Call,650,2025-09-19T00:00:00.000,874,0.12476159227532076,4.74,0.089999676,1.9354769,0.48259812966829024,0.03136248621575884,-0.4565087374204924,0.40597742072716436,0.07602206111695917,0.9979690317007212,0,63388,4.78,4.8
1413,SPY,Call,605,2025-09-19T00:00:00.000,869,0.25299330819617905,44.65,0,0,0.9640259342413884,0.003066702201750662,-0.25605143047000406,0.08049911889380149,0.14318487574126518,1.0721981332321797,43.67987060546875,18751,43.56,45.52
476,SPY,Put,648,2025-09-11T00:00:00.000,865,0.19266802558175336,2.25,-0.059999943,-2.5974002,0,0.06054735137834932,0,0.13448466796210246,0,1.0010491830331307,0,1535,2.25,2.27
2346,SPY,Put,628,2025-09-30T00:00:00.000,852,0.17062359225698776,2.72,0,0,0,0.010399094870382835,0,0.4091029352554189,0,1.0329297302634852,0,2169,2.59,2.61
2421,SPY,Call,614,2025-10-03T00:00:00.000,836,0.1388321379330842,36.68,0,0,0.9521761267046964,0.004402802273593412,-0.16306859272656274,0.16207461851000102,0.36609540255566125,1.0564818739502748,34.67987060546875,374,36.87,37.34
363,SPY,Call,649,2025-09-11T00:00:00.000,819,0.22164625895169096,2.88,0.09000015,3.191495,0.48911778693497404,0.052991237068484735,-2.2233825327396515,0.13540429551749086,0.008613722266844169,0.9995067343689811,0,822,2.87,2.89
4673,SPY,Put,560,2025-12-31T00:00:00.000,800,0.23814284299517155,4.36,0,0,0,0.002072465152798113,0,0.6372513613740056,0,1.15835691179548,0,4802,4.43,4.46
4970,SPY,Put,610,2026-01-16T00:00:00.000,792,0.19022518538536806,10.56,0,0,0,0.004192808621999244,0,1.176931004361623,0,1.0634096239433914,0,17360,10.55,10.59
710,SPY,Put,643,2025-09-12T00:00:00.000,788,0.18399907570954196,1.34,-0.00999999,-0.724637,0,0.03610968964333523,0,0.15319245328275619,0,1.0088333912993293,0,6130,1.34,1.35
4737,SPY,Put,625,2025-12-31T00:00:00.000,782,0.17512711813499288,11.95,0,0,0,0.005424539548912343,0,1.226598083962428,0,1.03788779296875,0,1768,11.95,12
368,SPY,Call,654,2025-09-11T00:00:00.000,768,0.176971088898002,0.64,-0.08000004,-11.111116,0.19343178232451885,0.04565925174517902,-1.2137035553037139,0.09315348166377076,0.0034201453021713455,0.9918652455741113,0,1506,0.71,0.72
4605,SPY,Call,760,2025-12-31T00:00:00.000,763,0.11253993582764472,0.14,0,0,0.010375112284926087,0.0006805860575302164,-0.008242640492360724,0.09889531363305357,0.020221758010529955,0.8535261455335115,0,4173,0.13,0.14
2432,SPY,Call,625,2025-10-03T00:00:00.000,760,0.12671661852260074,26.28,0,0,0.8969270886575524,0.008694897978108657,-0.2047440521951702,0.2921419205698149,0.3500653862930736,1.03788779296875,23.67987060546875,787,26.97,27.24
1116,SPY,Put,612,2025-09-17T00:00:00.000,760,0.24019147756458972,0.32,0,0,0,0.003727922909445253,0,0.07225876507175538,0,1.0599344290939032,0,855,0.25,0.26
5655,SPY,Call,665,2026-03-20T00:00:00.000,760,0.13478914753542723,24.02,0,0,0.5034260784243203,0.0063072268426847995,-0.1436932222429465,1.8719520631833995,1.5831668879900263,0.9754584520382988,0,3184,24.43,24.48
2412,SPY,Call,595,2025-10-03T00:00:00.000,738,0.29431858032226554,54.62,0,0,0.8925492366043366,0.0038579030592653576,-0.36174590422808195,0.3010681437431071,0.3284573274678913,1.0902182699251575,53.67987060546875,391,53.59,56.83
6270,SPY,Put,515,2026-06-18T00:00:00.000,712,0.2605415834975328,8.14,0,0,0,0.0012186423257306241,0,1.0285552008240202,0,1.2595725642824636,0,2715,7.71,7.74
5707,SPY,Put,315,2026-03-20T00:00:00.000,690,0.4825702550729997,0.92,0,0,0,0.00012399984597521123,0,0.13175983443243178,0,2.0593011765252975,0,916,0.91,0.92
718,SPY,Put,651,2025-09-12T00:00:00.000,687,0.14031168059473265,3.92,-0.03999996,-1.0101,0,0.05630327115674678,0,0.18214842824845232,0,0.996436053157402,2.32012939453125,2629,3.88,3.9
2429,SPY,Call,622,2025-10-03T00:00:00.000,683,0.10085321854169932,28.5,0,0,0.9617339693684485,0.0050613968627119255,-0.13748255210521063,0.1353492857782504,0.3751567599056605,1.0428936826454482,26.67987060546875,574,29.54,29.92
7482,SPY,Call,955,2027-12-17T00:00:00.000,668,0.11290091630998719,2.11,0,0,0.04887374675113652,0.0009181505791272366,-0.01446837070090173,0.989486092205634,0.671324608628609,0.6792459378067736,0,674,1.97,2.04
6076,SPY,Put,665,2026-03-31T00:00:00.000,660,0.20740418946039987,40.83,0,0,0,0.003978891499169364,0,1.921759200549448,0,0.9754584520382988,16.32012939453125,141,31.24,31.33
1843,SPY,Call,661,2025-09-26T00:00:00.000,648,0.09523420717526468,1.42,0.059999943,4.4117603,0.19886333287794622,0.021571079068614774,-0.1835889107320048,0.37892460135641043,0.055924883743315466,0.9813613776179557,0,1936,1.4,1.43
4420,SPY,Put,635,2025-12-19T00:00:00.000,645,0.1635141514861161,13.02,0,0,0,0.0065794409832382675,0,1.240258805566294,0,1.0215431033156988,0,5074,13.1,13.15
2362,SPY,Put,644,2025-09-30T00:00:00.000,644,0.1409870794245838,5.8,0,0,0,0.017802727699072426,0,0.5787137981942636,0,1.0072668798221565,0,1448,5.57,5.6
2553,SPY,Put,612,2025-10-03T00:00:00.000,642,0.20237165678259164,1.81,0,0,0,0.005746165705090466,0,0.30833558347028583,0,1.0599344290939032,0,1256,1.74,1.75
578,SPY,Call,651,2025-09-12T00:00:00.000,639,0.17387121518695162,2.36,0.109999895,4.9107094,0.39977190187199735,0.046268008417755205,-1.2085826106720554,0.18548400700054649,0.014080218387837231,0.996436053157402,0,5925,2.35,2.37
776,SPY,Call,650,2025-09-15T00:00:00.000,638,0.1231319676244369,3.27,0.07999992,2.5078347,0.461822618900649,0.04247912524489995,-0.584741798824979,0.30149795244863503,0.0405897310508427,0.9979690317007212,0,3581,3.29,3.31
1713,SPY,Put,650,2025-09-19T00:00:00.000,628,0.14029336037523119,6.05,0.03999996,0.6711403,0,0.027898343743628963,0,0.40609348920964145,0,0.9979690317007212,1.32012939453125,10170,6.02,6.05
579,SPY,Call,652,2025-09-12T00:00:00.000,607,0.16668696562250182,1.86,0.08000004,4.4943843,0.3483332829334615,0.04619671732431835,-1.1072005267026528,0.17754593404914032,0.01227927610415649,0.9949077770022526,0,21007,1.86,1.87
5762,SPY,Put,590,2026-03-20T00:00:00.000,602,0.20825977395247863,11.7,0,0,0,0.002859920339235218,0,1.3114769881804949,0,1.0994574078058792,0,6813,11.68,11.72
4715,SPY,Put,602,2025-12-31T00:00:00.000,601,0.19964001527214384,8.45,0,0,0,0.0039027251285805886,0,1.0060082914646111,0,1.0775413132981209,0,204,8.28,8.32
3245,SPY,Call,480,2025-10-31T00:00:00.000,600,0.34438958873986275,171.56,0,0,0.9928004918256039,0.00023921775001046214,-0.09867976088605898,0.04843748323290749,0.6601351896794082,1.3514163970947266,168.67987060546875,664,169.04,172.18
775,SPY,Call,649,2025-09-15T00:00:00.000,595,0.12520940334752112,3.81,0.089999914,2.4193525,0.5044083147069837,0.04196407099590133,-0.6005965251418137,0.302867408730611,0.044299934289924486,0.9995067343689811,0,603,3.84,3.85
478,SPY,Put,650,2025-09-11T00:00:00.000,594,0.17957414414093884,3.11,-0.07000017,-2.2012632,0,0.06413600453631778,0,0.13277419741580027,0,0.9979690317007212,1.32012939453125,338,3.09,3.11
3031,SPY,Put,626,2025-10-17T00:00:00.000,584,0.17173565481224315,4.76,0,0,0,0.008475091685715997,0,0.6208326918897109,0,1.0362298252483526,0,611,4.57,4.59
2454,SPY,Call,647,2025-10-03T00:00:00.000,580,0.11559277347816967,9.26,0,0,0.5756342744522268,0.020812847687833397,-0.28997950623537233,0.6379079350954808,0.22945957351666024,1.0025963996993335,1.67987060546875,735,9.43,9.46
1712,SPY,Put,649,2025-09-19T00:00:00.000,577,0.1405126829498084,5.55,-0.15999985,-2.802099,0,0.027857841323068226,0,0.4061378583989799,0,0.9995067343689811,0.32012939453125,3223,5.56,5.53
587,SPY,Call,660,2025-09-12T00:00:00.000,568,0.13343910724960528,0.11,0,0,0.04232147759190468,0.014078581581707803,-0.21363353958210252,0.04331516803880319,0.0014982515401725457,0.9828482887961648,0,11719,0.09,0.1
1249,SPY,Put,612,2025-09-18T00:00:00.000,568,0.2288088829286493,0.35,0,0,0,0.0038503675703461786,0,0.0812518086429277,0,1.0599344290939032,0,557,0.34,0.35
3597,SPY,Put,610,2025-10-31T00:00:00.000,559,0.19347159282367565,4.33,0.13999987,3.3412855,0,0.005345798548295644,0,0.6080901243471025,0,1.0634096239433914,0,21145,4.21,4.24
876,SPY,Put,647,2025-09-15T00:00:00.000,557,0.11924972919365265,2.68,0.01999998,0.751879,0,0.04289370631495172,0,0.29484173496010785,0,1.0025963996993335,0,1305,2.61,2.63
3027,SPY,Put,622,2025-10-17T00:00:00.000,556,0.17865243245057238,4.26,0,0,0,0.0076100648933980445,0,0.5799185439299982,0,1.0428936826454482,0,1084,4.06,4.07
6755,SPY,Put,550,2026-09-18T00:00:00.000,554,0.23368164860627555,14.56,0,0,0,0.001595299691873296,0,1.6030375642497219,0,1.1794179465553978,0,5676,14.29,14.34
369,SPY,Call,655,2025-09-11T00:00:00.000,551,0.17180801890977795,0.43,-0.07999998,-15.686271,0.14423189527578123,0.038931941601771644,-0.9742345414750976,0.07711120178555353,0.0025515158127308295,0.9903509474892652,0,3699,0.5,0.51
2908,SPY,Call,660,2025-10-17T00:00:00.000,550,0.10788132820876156,5.28,0.0800004,1.5384693,0.35626537102857864,0.016730099382500058,-0.19840767412108495,0.7698648795222636,0.22891562922906925,0.9828482887961648,0,24507,5.3,5.31
714,SPY,Put,647,2025-09-12T00:00:00.000,540,0.16130572673911245,2.26,-0.059999943,-2.5423706,0,0.05002621996366827,0,0.18605675771457564,0,1.0025963996993335,0,3462,2.26,2.28
936,SPY,Call,661,2025-09-16T00:00:00.000,539,0.09420694413587571,0.23,0,0,0.0671691215252144,0.01659973375034836,-0.12987734141495805,0.10816911276011179,0.007124590201587795,0.9813613776179557,0,467,0.22,0.23
1646,SPY,Put,583,2025-09-19T00:00:00.000,532,0.32579067520112187,0.2,0,0,0,0.0012397518901755811,0,0.041906743767779836,0,1.1126584401466015,0,5430,0.18,0.19
2411,SPY,Call,590,2025-10-03T00:00:00.000,530,0.3117134259033203,59.84,0,0,0.9002687047855191,0.0034507704205614265,-0.3626883971809232,0.28521173422951795,0.3285191686598069,1.0994574078058792,58.67987060546875,248,58.93,61.74
1829,SPY,Call,647,2025-09-26T00:00:00.000,518,0.11340247574234959,7.64,0.089999676,1.1920487,0.5772777229220609,0.025415116640700914,-0.33110408416220716,0.531621582830984,0.16080150733523382,1.0025963996993335,1.67987060546875,1079,7.64,7.67
2966,SPY,Put,445,2025-10-17T00:00:00.000,513,0.4739556497425915,0.15,0,0,0,0.00013885151814374606,0,0.028071010040034365,0,1.4577075743943118,0,3148,0.15,0.16
5693,SPY,Put,245,2026-03-20T00:00:00.000,512,0.5795468675060171,0.48,0,0,0,0.000052323338973141135,0,0.0667706122889569,0,2.647672941246811,0,4246,0.47,0.47
2539,SPY,Put,560,2025-10-03T00:00:00.000,511,0.304637904811786,0.44,0,0,0,0.0011026060161668176,0,0.08906357260083007,0,1.15835691179548,0,682,0.42,0.43
819,SPY,Put,585,2025-09-15T00:00:00.000,510,0.3615306901359329,0.06,0,0,0,0.0006778376226338246,0,0.014125662419771479,0,1.108854479667468,0,899,0.04,0.05
3045,SPY,Put,640,2025-10-17T00:00:00.000,505,0.1476224605586564,7.25,0.07999992,1.115759,0,0.012096349463195292,0,0.7616868666458868,0,1.013562297821045,0,42424,7.2,7.22
4873,SPY,Call,760,2026-01-16T00:00:00.000,503,0.10913677885744973,0.2,0,0,0.013860310061905048,0.0008439050796874556,-0.009787395044872362,0.1359072674322072,0.03082837615345357,0.8535261455335115,0,2235,0.19,0.2
7567,SPY,Put,575,2027-12-17T00:00:00.000,500,0.2270964196391582,32.45,0,0,0,0.0013173089016673006,0,2.855592475839135,0,1.1281389054008153,0,2048,32.2,32.46
1842,SPY,Call,660,2025-09-26T00:00:00.000,498,0.09414755141151,1.58,-0.01999998,-1.2499988,0.2180280331388622,0.02303705990324304,-0.19267925285321802,0.4000589971925415,0.06130428332049622,0.9828482887961648,0,4174,1.64,1.67
473,SPY,Put,645,2025-09-11T00:00:00.000,496,0.2178920037949355,1.44,-0.01999998,-1.379309,0,0.04724833312523111,0,0.1186849805022193,0,1.0057052257449128,0,4483,1.43,1.44
4890,SPY,Put,210,2026-01-16T00:00:00.000,494,0.7089353352802723,0.15,0,0,0,0.000020040655419450068,0,0.020965078463850234,0,3.0889517647879465,0,15683,0.14,0.15
2465,SPY,Call,658,2025-10-03T00:00:00.000,492,0.09888954250138278,3.34,0,0,0.32249781936244015,0.02228016516490029,-0.2145828633640215,0.5842040831566194,0.1297186412574025,0.9858356696131744,0,6604,3.6,3.63
1691,SPY,Put,628,2025-09-19T00:00:00.000,485,0.1882279549554277,1.22,0,0,0,0.010811304692068875,0,0.21114107028951462,0,1.0329297302634852,0,8380,1.19,1.2
689,SPY,Put,622,2025-09-12T00:00:00.000,482,0.294819838372853,0.14,0,0,0,0.0042472054726351875,0,0.028870742265834012,0,1.0428936826454482,0,3608,0.13,0.14
4401,SPY,Put,540,2025-12-19T00:00:00.000,478,0.263641587599645,2.92,0,0,0,0.0014967854653573736,0,0.4549267284714227,0,1.201259019639757,0,28925,2.94,2.95
365,SPY,Call,651,2025-09-11T00:00:00.000,465,0.20417258065994223,1.79,0.01999998,1.1299424,0.37505826295539274,0.05470194004585334,-1.9421624793617087,0.1287561925480459,0.006616513574888111,0.996436053157402,0,842,1.84,1.86
1456,SPY,Call,648,2025-09-19T00:00:00.000,459,0.12448259251507014,5.74,-0.11000013,-1.8803442,0.5453325358977205,0.03125936958004366,-0.45965456517361625,0.4037377212527458,0.08580975751802106,1.0010491830331307,0.67987060546875,5941,5.95,5.98
2674,SPY,Call,669,2025-10-10T00:00:00.000,458,0.09590394173580051,1.5,0,0,0.16144980402058445,0.013722720093736103,-0.12176200998256496,0.4551618935568339,0.08484594902576792,0.9696261145074271,0,355,1.58,1.6
2487,SPY,Call,680,2025-10-03T00:00:00.000,457,0.0942810678800907,0.18,0,0,0.03046222271493103,0.004488571739906269,-0.03641895721812092,0.11220920311880843,0.012338227557500218,0.9539409861845128,0,1815,0.18,0.19
687,SPY,Put,620,2025-09-12T00:00:00.000,454,0.30600421399685396,0.12,-0.009999998,-7.142856,0,0.003548721455863844,0,0.025037865004299994,0,1.0462578558152722,0,16920,0.12,0.13
2420,SPY,Call,613,2025-10-03T00:00:00.000,454,0.15644915471625254,37.94,0,0,0.9362918302159888,0.004900079503177874,-0.1905167314591325,0.20326947330453277,0.3588086097339644,1.058205335408595,35.67987060546875,228,37.85,38.34
708,SPY,Put,641,2025-09-12T00:00:00.000,443,0.19339006431924402,1.02,-0.029999971,-2.8301861,0,0.02982274871265637,0,0.13297800127975978,0,1.0119810773876268,0,2865,1.02,1.03
1639,SPY,Put,576,2025-09-19T00:00:00.000,440,0.3489894417615161,0.17,0,0,0,0.0009679382448765783,0,0.03504857989441603,0,1.1261803309122722,0,1926,0.15,0.16
878,SPY,Put,649,2025-09-15T00:00:00.000,437,0.11151992948027906,3.36,-0.02000022,-0.5917224,0,0.04711548854659417,0,0.3028685424719328,0,0.9995067343689811,0.32012939453125,1360,3.33,3.35
4381,SPY,Put,440,2025-12-19T00:00:00.000,436,0.3891796496603469,1.02,0,0,0,0.00036086712564560716,0,0.16190692387090255,0,1.4742724331942472,0,4264,1.02,1.03
2558,SPY,Put,617,2025-10-03T00:00:00.000,425,0.19211429931589194,2.13,0,0,0,0.006852011854905221,0,0.34903872312786055,0,1.0513450090850385,0,984,2.08,2.09
4297,SPY,Call,715,2025-12-19T00:00:00.000,422,0.10391199429019646,0.88,0,0,0.059256789374835826,0.0033435200056187294,-0.03610324699994175,0.4005323367817624,0.10290051086072331,0.9072445742733829,0,2935,0.87,0.89
