,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
5443,SPY,Call,652,2025-09-15T00:00:00.000,5849,0.11136739456014949,2.91,0.11000013,3.9285762,0.48949790929674397,0.05250776391493576,-0.5985566475437312,0.2719803409895538,0.03462829464425104,0.9991870716305599,0,1029,2.95,2.97
6138,SPY,Call,665,2025-09-19T00:00:00.000,5816,0.10082991187224308,0.43,0.09,26.470589,0.09495583857740048,0.017374128704387894,-0.15849514544787735,0.16295899896865185,0.013464301890654189,0.9796540912828947,0,21936,0.42,0.43
6125,SPY,Call,652,2025-09-19T00:00:00.000,5665,0.1205783106542373,4.66,0.26999998,6.122449,0.5049787402258386,0.03430157692406814,-0.47144184781407633,0.38474165358833107,0.0710835035836993,0.9991870716305599,0,5307,4.64,4.67
5242,SPY,Call,650,2025-09-12T00:00:00.000,5422,0.21226092530220148,3.72,0.18000007,5.084748,0.5865734593624113,0.053814860457623244,-2.1018065996661917,0.13282144808598234,0.010367534092768789,1.0022614933894232,1.469970703125,16027,3.75,3.78
6369,SPY,Put,641,2025-09-19T00:00:00.000,5384,0.16002196477703784,2.11,-0.27000022,-11.344547,0,0.019762813535417815,0,0.29418078175122286,0,1.016333807649181,0,5254,2.05,2.06
5445,SPY,Call,654,2025-09-15T00:00:00.000,5316,0.10350372238160437,1.84,0.01999998,1.0989,0.3775767877613852,0.053834204737025104,-0.5244080898807858,0.2591613307683416,0.026755061792996124,0.9961314536745031,0,1857,1.83,1.84
5250,SPY,Call,658,2025-09-12T00:00:00.000,5271,0.15825136468422443,0.31,-0.02000001,-6.060609,0.11767311946775177,0.03656081588475809,-0.7831452172116764,0.06727586368075471,0.002091794621704152,0.9900759433178191,0,4269,0.3,0.31
7573,SPY,Call,660,2025-10-17T00:00:00.000,5249,0.10820862415867989,6.22,0.32999992,5.6027155,0.401406961255699,0.01746662750210324,-0.2127443327437207,0.7911692030308104,0.2517875322305234,0.9870757131865531,0,24543,6.14,6.16
5374,SPY,Put,642,2025-09-12T00:00:00.000,5146,0.23086479683472017,0.42,-0.25000003,-37.31344,0,0.023875281264933056,0,0.06409175307417064,0,1.0147507331824377,0,22187,0.42,0.43
5744,SPY,Call,670,2025-09-17T00:00:00.000,5129,0.10955720512333482,0.09,0.060000002,199.99998,0.026017774271667952,0.006603831995905582,-0.06942383810431382,0.050475909185401714,0.0027714737494560077,0.9723432398554105,0,235,0.06,0.07
5251,SPY,Call,659,2025-09-12T00:00:00.000,5106,0.15623666516014006,0.2,-0.030000001,-13.043478,0.08259800291214187,0.02858591620936217,-0.5961021247343782,0.05193151782179715,0.0014687703708851966,0.9885735519015554,0,3732,0.19,0.2
7635,SPY,Put,465,2025-10-17T00:00:00.000,5082,0.44943142845668566,0.2,0,0,0,0.00019666030524044097,0,0.03699802895966,0,1.4010106896841399,0,7780,0.18,0.19
6127,SPY,Call,654,2025-09-19T00:00:00.000,5080,0.11680246839881817,3.59,0.26999998,8.132529,0.4345491289451919,0.03493552589148802,-0.4457218323757974,0.3795816700656265,0.061261525107505245,0.9961314536745031,0,5383,3.51,3.53
5687,SPY,Put,649,2025-09-16T00:00:00.000,5042,0.10564610662486455,1.99,-0.5899999,-22.868216,0,0.04645572986627588,0,0.28533741856080447,0,1.0038058100202234,0,2850,2.03,2.05
5546,SPY,Put,652,2025-09-15T00:00:00.000,4998,0.09098554298813541,2.6,-0.76,-22.61905,0,0.06425394171115126,0,0.27191182626202365,0,0.9991870716305599,0.530029296875,309,2.7,2.72
5544,SPY,Put,650,2025-09-15T00:00:00.000,4925,0.10040539332559184,1.94,-0.6299999,-24.513615,0,0.05629677757245222,0,0.2629035853799567,0,1.0022614933894232,0,1130,1.98,2
